scrape_date,rank,provider,product_name,aer,duplicate_key
2026-07-02,217,Principality BS,Branch Instant Access,2.25,Principality BS|Branch Instant Access|2.25
2026-07-02,218,Principality BS,Online Easy Access,2.25,Principality BS|Online Easy Access|2.25
2026-07-02,219,Scottish BS,Instant Access Saver,2.25,Scottish BS|Instant Access Saver|2.25
2026-07-02,220,Scottish BS,Online Saver,2.25,Scottish BS|Online Saver|2.25
2026-07-02,221,Teachers BS,Easy Access Savings for Everyone (Issue 1),2.25,Teachers BS|Easy Access Savings for Everyone (Issue 1)|2.25
2026-07-02,222,Yorkshire Building Society,Everyday Saver,2.25,Yorkshire Building Society|Everyday Saver|2.25
2026-07-02,223,Chorley Building Society,Easy Access Saver (3 Withdrawals),2.20,Chorley Building Society|Easy Access Saver (3 Withdrawals)|2.20
2026-07-02,224,Triodos Bank,Triodos Online Saver Plus,2.20,Triodos Bank|Triodos Online Saver Plus|2.20
2026-07-02,225,Emma,Super Pot - Plus,2.11,Emma|Super Pot - Plus|2.11
2026-07-02,226,Emma,Easy Access Pot - Plus,2.08,Emma|Easy Access Pot - Plus|2.08
2026-07-02,227,Chorley Building Society,Easy Access Saver (4 Withdrawals),2.05,Chorley Building Society|Easy Access Saver (4 Withdrawals)|2.05
2026-07-02,228,Danske Bank,Danske eSaver,2.05,Danske Bank|Danske eSaver|2.05
2026-07-02,229,National Savings & Investments,Investment Account,2.05,National Savings & Investments|Investment Account|2.05
2026-07-02,230,Newbury BS,Instant Premium,2.05,Newbury BS|Instant Premium|2.05
2026-07-02,231,Skipton BS,Branch Easy Access Saver (Issue 9),2.05,Skipton BS|Branch Easy Access Saver (Issue 9)|2.05
2026-07-02,232,Skipton BS,Easy Access Saver (Issue 9),2.05,Skipton BS|Easy Access Saver (Issue 9)|2.05
2026-07-02,233,Atom Bank,Instant Saver Reward,2.00,Atom Bank|Instant Saver Reward|2.00
2026-07-02,234,Coventry BS,Easy Access Saver (8),2.00,Coventry BS|Easy Access Saver (8)|2.00
2026-07-02,235,Santander,Easy Access Saver (Issue 30),2.00,Santander|Easy Access Saver (Issue 30)|2.00
2026-07-02,236,The Co-operative Bank,Online Saver,2.00,The Co-operative Bank|Online Saver|2.00
2026-07-02,237,Vanquis Bank,Triple Access Saver (Issue 4),2.00,Vanquis Bank|Triple Access Saver (Issue 4)|2.00
2026-07-02,238,West Brom BS,Direct Limited Access Saver (Issue 3),2.00,West Brom BS|Direct Limited Access Saver (Issue 3)|2.00
2026-07-02,239,West Brom BS,Limited Access Saver (Issue 2),2.00,West Brom BS|Limited Access Saver (Issue 2)|2.00
2026-07-02,240,Chorley Building Society,Easy Access Saver (6 Withdrawals),1.95,Chorley Building Society|Easy Access Saver (6 Withdrawals)|1.95
2026-07-02,241,The Stafford BS,Pullman (Instant Access),1.90,The Stafford BS|Pullman (Instant Access)|1.90
2026-07-02,242,The Stafford BS,Pullman (Instant Access) - Monthly Interest,1.90,The Stafford BS|Pullman (Instant Access) - Monthly Interest|1.90
2026-07-02,243,Tipton & Coseley BS,Easy Access (Issue 2),1.90,Tipton & Coseley BS|Easy Access (Issue 2)|1.90
2026-07-02,244,Vernon BS,Easy Access,1.90,Vernon BS|Easy Access|1.90
2026-07-02,245,Barclays Bank,Reward Saver,1.85,Barclays Bank|Reward Saver|1.85
2026-07-02,246,The Stafford BS,Black & Amber Affinity,1.85,The Stafford BS|Black & Amber Affinity|1.85
2026-07-02,247,The Stafford BS,Black & White Affinity,1.85,The Stafford BS|Black & White Affinity|1.85
2026-07-02,248,The Stafford BS,Katharine House Hospice Affinity,1.85,The Stafford BS|Katharine House Hospice Affinity|1.85
2026-07-02,249,The Stafford BS,Pullman Affinity - World Land Trust,1.85,The Stafford BS|Pullman Affinity - World Land Trust|1.85
2026-07-02,250,The Stafford BS,Support Staffordshire,1.85,The Stafford BS|Support Staffordshire|1.85
2026-07-02,251,Triodos Bank,Triodos Online Saver,1.81,Triodos Bank|Triodos Online Saver|1.81
2026-07-02,252,Manchester BS,Manchester Easy Access Saver,1.80,Manchester BS|Manchester Easy Access Saver|1.80
2026-07-02,253,Newcastle BS,Newcastle Easy Saver (Issue 5),1.80,Newcastle BS|Newcastle Easy Saver (Issue 5)|1.80
2026-07-02,254,ICICI Bank UK,Savings Account,1.75,ICICI Bank UK|Savings Account|1.75
2026-07-02,255,Marsden BS,Affinity Saver (Issue 11),1.75,Marsden BS|Affinity Saver (Issue 11)|1.75
2026-07-02,256,Monmouthshire BS,Save And Support Account,1.75,Monmouthshire BS|Save And Support Account|1.75
2026-07-02,257,Penrith BS,Easy Access E-Saver (Issue 1),1.75,Penrith BS|Easy Access E-Saver (Issue 1)|1.75
2026-07-02,258,Penrith BS,Instant Access Share,1.75,Penrith BS|Instant Access Share|1.75
2026-07-02,259,The Co-operative Bank,Base Rate Tracker Savings Account,1.75,The Co-operative Bank|Base Rate Tracker Savings Account|1.75
2026-07-02,260,Virgin Money,Club M Saver,1.75,Virgin Money|Club M Saver|1.75
2026-07-02,261,Virgin Money,M Plus Saver,1.75,Virgin Money|M Plus Saver|1.75
