scrape_date,rank,provider,product_name,aer,duplicate_key
2026-06-26,210,Family Building Society,Branch Saver (5),2.40,Family Building Society|Branch Saver (5)|2.40
2026-06-26,211,Family Building Society,Everyday Saver (3),2.25,Family Building Society|Everyday Saver (3)|2.25
2026-06-26,212,Tipton & Coseley BS,Easy Access (Issue 2),1.90,Tipton & Coseley BS|Easy Access (Issue 2)|1.90
2026-06-26,213,Tipton & Coseley BS,Monthly Income Savings Account,3.56,Tipton & Coseley BS|Monthly Income Savings Account|3.56
2026-06-26,214,Moneybox,Simple Saver,2.40,Moneybox|Simple Saver|2.40
2026-06-26,215,Triodos Bank,Triodos Online Saver,1.81,Triodos Bank|Triodos Online Saver|1.81
2026-06-26,216,Triodos Bank,Triodos Online Saver Plus,2.20,Triodos Bank|Triodos Online Saver Plus|2.20
2026-06-26,217,The Co-operative Bank,Select Access Saver 5,3.28,The Co-operative Bank|Select Access Saver 5|3.28
2026-06-26,218,The Co-operative Bank,Select Access Saver 5,1.00,The Co-operative Bank|Select Access Saver 5|1.00
2026-06-26,219,Gatehouse Bank,Easy Access Account,2.95,Gatehouse Bank|Easy Access Account|2.95
2026-06-26,220,Teachers BS,Double Access Savings for Teachers (Issue 1),3.55,Teachers BS|Double Access Savings for Teachers (Issue 1)|3.55
2026-06-26,221,Teachers BS,Double Access Savings for Teachers (Issue 1),1.25,Teachers BS|Double Access Savings for Teachers (Issue 1)|1.25
2026-06-26,222,Teachers BS,Double Access Savings for Everyone (Issue 1),3.50,Teachers BS|Double Access Savings for Everyone (Issue 1)|3.50
2026-06-26,223,Teachers BS,Double Access Savings for Everyone (Issue 1),1.25,Teachers BS|Double Access Savings for Everyone (Issue 1)|1.25
2026-06-26,224,Melton BS,Limited Access Saver,3.25,Melton BS|Limited Access Saver|3.25
2026-06-26,225,Earl Shilton BS,Instant Access Savings Account,1.00,Earl Shilton BS|Instant Access Savings Account|1.00
2026-06-26,226,NatWest,Flexible Saver,1.35,NatWest|Flexible Saver|1.35
2026-06-26,227,Royal Bank of Scotland,Flexible Saver,1.35,Royal Bank of Scotland|Flexible Saver|1.35
2026-06-26,228,Coventry BS,Easy Access Saver (8),2.00,Coventry BS|Easy Access Saver (8)|2.00
2026-06-26,229,Furness BS,Barrow AFC Community Account (Issue 3),1.10,Furness BS|Barrow AFC Community Account (Issue 3)|1.10
2026-06-26,230,Furness BS,Barrow Raiders Rugby League Community Account (3),1.10,Furness BS|Barrow Raiders Rugby League Community Account (3)|1.10
2026-06-26,231,Furness BS,Bolton Hospice Community Account (Issue 3),1.10,Furness BS|Bolton Hospice Community Account (Issue 3)|1.10
2026-06-26,232,Furness BS,Croft Care Trust Community Account (Issue 3),1.10,Furness BS|Croft Care Trust Community Account (Issue 3)|1.10
2026-06-26,233,Furness BS,Everyday Saver (Issue 4),1.60,Furness BS|Everyday Saver (Issue 4)|1.60
2026-06-26,234,Furness BS,Rosemere Cancer Foundation Community Account (3),1.10,Furness BS|Rosemere Cancer Foundation Community Account (3)|1.10
2026-06-26,235,Furness BS,St John's Hospice Community Account (Issue 3),1.10,Furness BS|St John's Hospice Community Account (Issue 3)|1.10
2026-06-26,236,Furness BS,St. Mary's Hospice Community Account (Issue 3),1.10,Furness BS|St. Mary's Hospice Community Account (Issue 3)|1.10
2026-06-26,237,Furness BS,Trinity Hospice Community Account (Issue 3),1.10,Furness BS|Trinity Hospice Community Account (Issue 3)|1.10
2026-06-26,238,Furness BS,Triple Access Saver (Issue 2),3.00,Furness BS|Triple Access Saver (Issue 2)|3.00
2026-06-26,239,Darlington BS,Easy Access Saver,2.80,Darlington BS|Easy Access Saver|2.80
2026-06-26,240,Kent Reliance,Exclusive Easy Access Account - Issue 16,3.75,Kent Reliance|Exclusive Easy Access Account - Issue 16|3.75
2026-06-26,241,Nationwide BS,1 Year Triple Access Saver 3,3.30,Nationwide BS|1 Year Triple Access Saver 3|3.30
2026-06-26,242,Nationwide BS,1 Year Triple Access Saver 3,1.05,Nationwide BS|1 Year Triple Access Saver 3|1.05
2026-06-26,243,UBL UK,High Saver Easy Access Account,3.85,UBL UK|High Saver Easy Access Account|3.85
2026-06-26,244,Barclays Bank,Reward Saver,0.60,Barclays Bank|Reward Saver|0.60
2026-06-26,245,West Brom BS,Albion Advantage Account,1.25,West Brom BS|Albion Advantage Account|1.25
